"season","date","home_team","guest_team","score","home_score","guest_score","odds_1","odds_x","odds_2","explore_id","outcome","ftr"
"Elitserien 2015/2016","04.02.2016","Skovde","Lugi","21:26","21","26","3.81","10.19","1.37","bNIiw9Jd",,"2"
"Elitserien 2015/2016","03.02.2016","Guif","Ricoh","29:25","29","25","1.21","12.02","5.61","nPl3Wxop",,"1"
"Elitserien 2015/2016","03.02.2016","Savehof","Karlskrona","31:24","31","24","1.16","13.13","6.72","tnl7Vd0j",,"1"
"Elitserien 2015/2016","03.02.2016","Ystads IF","Kristianstad","27:31","27","31","3.86","10.22","1.36","pG2yyJxT",,"2"
"Elitserien 2015/2016","02.02.2016","Malmo","Aranas","33:11","33","11","1.14","13.78","7.23","Sv8WyaNM",,"1"
"Elitserien 2015/2016","01.02.2016","Hammarby","Alingsas","29:30","29","30","2.62","8.99","1.68","ll9Sxu8G",,"2"
"Elitserien 2015/2016","30.12.2015","Karlskrona","Drott","33:28","33","28","1.50","9.69","3.16","ri6Kv1w4",,"1"
"Elitserien 2015/2016","30.12.2015","Kristianstad","Hammarby","33:23","33","23","1.04","17.66","14.21","0SGFusOc",,"1"
"Elitserien 2015/2016","30.12.2015","Ricoh","Ystads IF","23:22","23","22","3.65","10.02","1.40","fR9OwLhA",,"1"
"Elitserien 2015/2016","29.12.2015","Aranas","Alingsas","20:23","20","23","7.49","14.12","1.13","fVPPIJGp",,"2"
"Elitserien 2013/2014","06.02.2014","Alingsas","Lugi","26:27","26","27","1.72","8.71","2.51","4pNrJCF5",,"2"
"Elitserien 2013/2014","05.02.2014","Lund","Hammarby","26:29","26","29","2.13","8.40","1.97","QgOvKh0a",,"2"
"Elitserien 2013/2014","05.02.2014","Malmo","Guif","29:29","29","29","2.02","8.34","2.08","dKJzLYpg",,"X"
"Elitserien 2013/2014","05.02.2014","Redbergslids","Drott","38:30","38","30","1.68","8.65","2.60","n9CmIWUB",,"1"
"Elitserien 2013/2014","05.02.2014","Rimbo","Savehof","28:34","28","34","7.80","13.75","1.12","IPpq1gCA",,"2"
"Elitserien 2013/2014","05.02.2014","Skovde","Onnereds","30:24","30","24","1.11","14.40","8.02","ITKWLEVn",,"1"
"Elitserien 2013/2014","05.02.2014","Ystads IF","Kristianstad","21:26","21","26","3.20","9.65","1.47","z5VRMfGt",,"2"
"Elitserien 2013/2014","03.02.2014","Savehof","Alingsas","27:30","27","30","1.60","9.19","2.76","bqv0Rz8P",,"2"
"Elitserien 2013/2014","02.02.2014","Guif","Rimbo","40:22","40","22","1.01","21.18","20.11","QwzH4D0C",,"1"
"Elitserien 2011/2012","01.02.2012","Malmo","Tumba","35:23","35","23","1.17","13.35","5.74","2BCMvb5M",,"1"
"Elitserien 2011/2012","01.02.2012","Savehof","Guif","34:20","34","20","1.49","10.18","3.04","Yg3hZyTq",,"1"
"Elitserien 2011/2012","30.12.2011","Alingsas","Savehof","21:29","21","29","2.15","8.49","1.92","nDT9KxEj",,"2"
"Elitserien 2011/2012","30.12.2011","Redbergslids","Malmo","21:28","21","28","1.56","9.83","2.75","GUxvQbjT",,"2"
"Elitserien 2011/2012","30.12.2011","Tumba","Drott","31:33","31","33","3.00","9.88","1.50","hzW0qMji",,"2"
"Elitserien 2011/2012","30.12.2011","Ystads IF","Hammarby","37:18","37","18","1.11","13.87","7.53","6wz5rt6c",,"1"
"Elitserien 2011/2012","29.12.2011","Guif","Lund","45:32","45","32","1.11","14.75","7.30","fFlVRKLG",,"1"
"Elitserien 2011/2012","29.12.2011","Lugi","Aranas","37:18","37","18","1.29","11.62","4.18","8MU5LIbp",,"1"
"Elitserien 2011/2012","29.12.2011","Skovde","Kristianstad","29:30","29","30","1.58","9.68","2.71","xvvzRvyN",,"2"
"Elitserien 2010/2011","10.02.2011","Drott","Skovde","26:28","26","28","","","","AJWz3Lzl",,"2"
"Elitserien 2010/2011","10.02.2011","Savehof","Hammarby","29:17","29","17","","","","6sMYV7FF",,"1"
"Elitserien 2010/2011","10.02.2011","Lugi","Alingsas","17:20","17","20","","","","zHQxVRUL",,"2"
"Elitserien 2010/2011","08.02.2011","Skovde","Redbergslids","21:26","21","26","","","","SjNUWm09",,"2"
"Elitserien 2010/2011","07.02.2011","Drott","Alingsas","18:26","18","26","","","","pSXPXTp3",,"2"
"Elitserien 2010/2011","07.02.2011","Lindesberg","Guif","24:27","24","27","","","","UL2W9Qhd",,"2"
"Elitserien 2010/2011","07.02.2011","Lugi","Hammarby","25:24","25","24","","","","nsFMY9Vd",,"1"
"Elitserien 2010/2011","07.02.2011","Malmo","Ystads IF","23:25","23","25","","","","jV3SA6wj",,"2"
"Elitserien 2010/2011","06.02.2011","Aranas","Lund","33:27","33","27","","","","dUofTEgH",,"1"
"Elitserien 2009/2010","03.02.2010","Malmo","Redbergslids","28:28","28","28","1.82","9.16","2.24","OIYDgpb0",,"X"
"Elitserien 2009/2010","03.02.2010","Savehof","Drott","37:26","37","26","1.30","11.14","4.12","byRQjrrJ",,"1"
"Elitserien 2009/2010","03.02.2010","Skovde","Helsingborg","36:25","36","25","1.73","9.39","2.39","pYMMiOSC",,"1"
"Elitserien 2009/2010","03.02.2010","Ystads IF","Lindesberg","36:25","36","25","1.30","11.27","4.11","GdwHFRKJ",,"1"
"Elitserien 2009/2010","29.12.2009","Alingsas","Kristianstad","29:24","29","24","1.22","12.25","5.13","4A7gdnEs",,"1"
"Elitserien 2009/2010","27.12.2009","Alingsas","Hammarby","24:23","24","23","1.34","11.07","3.76","0fzNiXMe",,"1"
"Elitserien 2008/2009","17.12.2008","Guif","Ystads IF","26:35","26","35","1.65","9.64","2.51","fDCar1P8",,"2"
"Elitserien 2008/2009","17.12.2008","IFK Ystads","Hammarby","30:39","30","39","5.49","13.30","1.19","lC58tufL",,"2"
"Elitserien 2008/2009","17.12.2008","Lund","Redbergslids","23:29","23","29","1.59","10.33","2.63","xx24sLvF",,"2"
"Elitserien 2008/2009","17.12.2008","Savehof","Alingsas","26:26","26","26","1.18","13.09","5.32","rZ4Cua9R",,"X"
"Elitserien 2008/2009","17.12.2008","Skovde","Drott","32:34","32","34","1.14","13.91","6.30","l0FnyJHr",,"2"
"Elitserien 2008/2009","15.12.2008","Drott","Guif","25:30","25","30","2.20","9.01","1.84","bHJDqVF7",,"2"
"Elitserien 2008/2009","15.12.2008","Redbergslids","Lindesberg","25:25","25","25","1.43","10.98","3.15","UqWP9Eh8",,"X"
"Elitserien 2008/2009","14.12.2008","Alingsas","IFK Ystads","32:25","32","25","1.07","15.38","10.63","U7SeiZhL",,"1"
"Elitserien 2008/2009","14.12.2008","Ystads IF","Tumba","46:20","46","20","1.05","16.17","11.97","QwIMig8R",,"1"
"Elitserien 2004/2005","09.02.2005","Savehof","Djurgardens","32:13","32","13","","","","riGA0GPd",,"1"
"Elitserien 2004/2005","29.12.2004","Djurgardens","Drott","30:28","30","28","3.18","9.63","1.43","IktxnHA3",,"1"
"Elitserien 2004/2005","29.12.2004","Lugi","Savehof","23:25","23","25","3.19","9.63","1.43","j3vppeuG",,"2"
"Elitserien 2004/2005","29.12.2004","Redbergslids","Hammarby","31:24","31","24","1.69","8.77","2.43","llcmqFfM",,"1"
"Elitserien 2004/2005","29.12.2004","Tumba","Heid","34:28","34","28","1.18","10.50","5.30","dtutoyQ9",,"1"
"Elitserien 2004/2005","29.12.2004","Vasteras Irsta HF","Lund","24:24","24","24","2.80","9.38","1.53","WCnhrZ9S",,"X"
"Elitserien 2004/2005","26.12.2004","Drott","Lugi","22:22","22","22","1.31","10.35","3.84","MNnTmwti",,"X"
"Elitserien 2004/2005","26.12.2004","Guif","Djurgardens","22:26","22","26","1.13","10.66","6.34","8KboPg3j",,"2"
"Elitserien 2004/2005","26.12.2004","Hammarby","Kroppskultur","38:28","38","28","1.29","10.75","3.97","fHfsQZmp",,"1"
"Elitserien 2004/2005","26.12.2004","Heid","Skovde","29:39","29","39","10.17","12.39","1.04","AqJAVeQM",,"2"
"Handbollsligan 2017/2018","26.12.2017","Savehof","Kristianstad","25:28","25","28","3.65","9.43","1.42","SYMy6Ntk",,"2"
"Handbollsligan 2017/2018","26.12.2017","Ystads IF","Alingsas","23:25","23","25","1.75","8.34","2.54","2iFl3LQ7",,"2"
"Handbollsligan 2017/2018","21.12.2017","Kristianstad","Savehof","28:23","28","23","1.21","11.75","5.74","EoX0DK65",,"1"
"Handbollsligan 2017/2018","21.12.2017","Skovde","Aranas","29:26","29","26","1.42","9.47","3.61","4zIdFRJ2",,"1"
"Handbollsligan 2017/2018","20.12.2017","Alingsas","Ystads IF","23:26","23","26","1.51","9.15","3.17","C0L4D5lF",,"2"
"Handbollsligan 2017/2018","20.12.2017","Karlskrona","Hammarby","26:28","26","28","3.11","9.11","1.53","OvuAiORe",,"2"
"Elitserien 2015/2016","29.12.2015","Lugi","Savehof","22:28","22","28","1.54","9.45","2.99","MyIBtN8i",,"2"
"Elitserien 2015/2016","29.12.2015","Redbergslids","Malmo","25:25","25","25","1.58","9.29","2.84","YLOTHwWj",,"X"
"Elitserien 2015/2016","29.12.2015","Skovde","Guif","26:25","26","25","3.41","9.78","1.44","llmcNa8T",,"1"
"Elitserien 2015/2016","27.12.2015","Drott","Karlskrona","29:21","29","21","2.02","8.73","2.09","zoqgOugN",,"1"
"Elitserien 2015/2016","27.12.2015","Hammarby","Kristianstad","28:27","28","27","5.84","12.54","1.19","2XpoQ1OA",,"1"
"Elitserien 2015/2016","27.12.2015","Ystads IF","Ricoh","31:26","31","26","1.15","12.79","7.03","tOqkPLwH",,"1"
"Elitserien 2015/2016","26.12.2015","Alingsas","Aranas","42:27","42","27","1.01","22.01","20.47","zBElRs94",,"1"
"Elitserien 2015/2016","26.12.2015","Guif","Skovde","33:24","33","24","1.22","11.53","5.57","dKFpSNgb",,"1"
"Elitserien 2015/2016","26.12.2015","Savehof","Lugi","19:23","19","23","1.62","9.32","2.75","2cGtT3vh",,"2"
"Elitserien 2015/2016","22.12.2015","Alingsas","Hammarby","34:22","34","22","1.20","12.02","5.87","nkYg50no",,"1"
"Elitserien 2013/2014","02.02.2014","Hammarby","Redbergslids","26:26","26","26","1.63","9.25","2.69","nmyD5go6",,"X"
"Elitserien 2013/2014","02.02.2014","Lugi","Ystads IF","30:27","30","27","1.19","12.03","5.91","ptjI2iVO",,"1"
"Elitserien 2013/2014","02.02.2014","Onnereds","Lund","27:32","27","32","2.29","8.72","1.84","6kiE3XFI",,"2"
"Elitserien 2013/2014","01.02.2014","Drott","Malmo","27:24","27","24","1.71","8.82","2.52","vNX47FGg",,"1"
"Elitserien 2013/2014","01.02.2014","Kristianstad","Skovde","30:29","30","29","1.14","12.54","7.12","hQy96ZVa",,"1"
"Elitserien 2013/2014","30.01.2014","Skovde","Guif","25:28","25","28","2.36","8.46","1.82","dbr08e1m",,"2"
